Date,Day of Week,Lecture Number,Start Time,End Time,Subject,Subject Code,Faculty ID,Semester,Branch,Section,Classroom,Total Enrolled Students,Students Present,Attendance Percentage,Previous Lecture Attendance,Gap Since Previous Lecture,Practical/Theory,Internal Test Week,Assignment Due,Holiday Before/After,Weather,Special Event,Faculty Experience,Time Category,Timetable Status,Data Source,Lecture Duration (Minutes),Day of Semester,Week Number,Month,Previous Attendance Rolling Average,Consecutive Lecture Count,Days Since Last Holiday,Exam Week Flag,Assignment Due Flag,Holiday Flag,Special Event Flag,Attendance Category
10-09-2025,Wednesday,1,9:15,10:15,Mini Project,ITP11,JSP_Visiting,1,MCA,A,403,103,83,80.58,59.22,18.75,Project,No,No,No,Sunny,No,11.9,Morning,Provided,Synthetic development data,60.0,3,37,9,67.96,1,21.0,0,0,0,0,High
10-09-2025,Wednesday,2,10:15,11:15,Network Technologies and Infrastructure Management,IT14,MLK,1,MCA,A,403,103,72,69.9,80.58,1.0,Theory,No,Yes,No,Rainy,No,3.4,Morning,Provided,Synthetic development data,60.0,3,37,9,70.22333333333333,2,21.0,0,1,0,0,Medium
10-09-2025,Wednesday,3,11:15,12:15,Data Structure and Algorithms,IT12,ASP_RSZ,1,MCA,A,403,103,79,76.7,69.9,1.0,Theory,No,No,No,Rainy,No,13.7,Morning,Provided,Synthetic development data,60.0,3,37,9,69.9,3,21.0,0,0,0,0,High
10-09-2025,Wednesday,4,13:30,14:30,Python Programming,IT11,AAB_SP,1,MCA,A,403,103,68,66.02,76.7,2.25,Theory,No,No,No,Sunny,No,11.7,Afternoon,Provided,Synthetic development data,60.0,3,37,9,75.72666666666667,4,21.0,0,0,0,0,Medium
10-09-2025,Wednesday,5,14:30,15:30,Network Technologies and Infrastructure Management,IT14,MLK,1,MCA,A,403,103,65,63.11,66.02,1.0,Theory,No,No,No,Rainy,No,6.3,Afternoon,Provided,Synthetic development data,60.0,3,37,9,70.87333333333333,5,21.0,0,0,0,0,Medium
11-09-2025,Thursday,1,9:15,10:15,Network Technologies and Infrastructure Management,IT14,MLK,1,MCA,A,403,103,70,67.96,63.11,18.75,Theory,No,No,No,Cloudy,No,8.5,Morning,Provided,Synthetic development data,60.0,4,37,9,68.61,1,21.0,0,0,0,0,Medium
11-09-2025,Thursday,2,10:15,11:15,Data Structure and Algorithms,IT12,ASP_RSZ,1,MCA,A,403,103,88,85.44,67.96,1.0,Theory,No,No,No,Sunny,No,10.6,Morning,Provided,Synthetic development data,60.0,4,37,9,65.69666666666667,2,21.0,0,0,0,0,High
11-09-2025,Thursday,3,11:15,12:15,Organizational Behavior,IT15,MPS_KSD,1,MCA,A,403,103,82,79.61,85.44,1.0,Theory,Yes,No,No,Cloudy,No,2.3,Morning,Provided,Synthetic development data,60.0,4,37,9,72.17,3,21.0,1,0,0,0,High
11-09-2025,Thursday,4,13:30,14:30,Advanced DBMS,IT13,MST_DPY,1,MCA,A,403,103,65,63.11,79.61,2.25,Theory,No,Yes,No,Rainy,No,8.5,Afternoon,Provided,Synthetic development data,60.0,4,37,9,77.67,4,21.0,0,1,0,0,Medium
11-09-2025,Thursday,5,14:30,15:30,Data Structure and Algorithms,IT12,ASP_RSZ,1,MCA,A,403,103,77,74.76,63.11,1.0,Theory,No,Yes,No,Cloudy,No,11.5,Afternoon,Provided,Synthetic development data,60.0,4,37,9,76.05333333333333,5,21.0,0,1,0,0,Medium
12-09-2025,Friday,1,9:15,10:15,Organizational Behavior,IT15,MPS_KSD,1,MCA,A,403,103,86,83.5,74.76,18.75,Theory,No,No,No,Cloudy,No,4.4,Morning,Provided,Synthetic development data,60.0,5,37,9,72.49333333333334,1,21.0,0,0,0,0,High
12-09-2025,Friday,2,10:15,11:15,Python Programming,IT11,AAB_SP,1,MCA,A,403,103,81,78.64,83.5,1.0,Theory,No,No,No,Sunny,No,7.8,Morning,Provided,Synthetic development data,60.0,5,37,9,73.79,2,21.0,0,0,0,0,High
12-09-2025,Friday,3,11:15,12:15,Advanced DBMS,IT13,MST_DPY,1,MCA,A,403,103,75,72.82,78.64,1.0,Theory,No,No,No,Sunny,No,8.9,Morning,Provided,Synthetic development data,60.0,5,37,9,78.96666666666667,3,21.0,0,0,0,0,Medium
12-09-2025,Friday,4,13:30,14:30,Data Structure and Algorithms,IT12,ASP_RSZ,1,MCA,A,403,103,72,69.9,72.82,2.25,Theory,No,No,No,Cloudy,No,11.6,Afternoon,Provided,Synthetic development data,60.0,5,37,9,78.32,4,21.0,0,0,0,0,Medium
12-09-2025,Friday,5,14:30,15:30,Python Programming,IT11,AAB_SP,1,MCA,A,403,103,68,66.02,69.9,1.0,Theory,No,No,No,Sunny,No,14.5,Afternoon,Provided,Synthetic development data,60.0,5,37,9,73.78666666666666,5,21.0,0,0,0,0,Medium
13-09-2025,Saturday,1,11:15,12:15,Mini Project,ITP11,JSP_Visiting,1,MCA,A,403,103,72,69.9,66.02,20.75,Project,No,No,No,Rainy,No,13.0,Morning,Provided,Synthetic development data,60.0,6,37,9,69.58,1,21.0,0,0,0,0,Medium
15-09-2025,Monday,1,9:15,10:15,Mini Project,ITP11,JSP_Visiting,1,MCA,A,403,103,72,69.9,69.9,46.0,Project,No,No,No,Sunny,No,10.1,Morning,Provided,Synthetic development data,60.0,8,38,9,68.60666666666667,1,21.0,0,0,0,0,Medium
15-09-2025,Monday,2,10:15,11:15,Advanced DBMS,IT13,MST_DPY,1,MCA,A,403,103,78,75.73,69.9,1.0,Theory,Yes,No,No,Rainy,No,9.6,Morning,Provided,Synthetic development data,60.0,8,38,9,68.60666666666667,2,21.0,1,0,0,0,High
15-09-2025,Monday,3,11:15,12:15,Python Programming,IT11,AAB_SP,1,MCA,A,403,103,86,83.5,75.73,1.0,Theory,No,No,No,Cloudy,No,9.8,Morning,Provided,Synthetic development data,60.0,8,38,9,71.84333333333335,3,21.0,0,0,0,0,High
15-09-2025,Monday,4,13:30,14:30,"Practical based on Python Programming, Data Structure and Algorithms and Advanced DBMS",ITL11,AAB_SP_ASP_RSZ_MST_DPY,1,MCA,A,401/402,103,87,84.47,83.5,2.25,Practical,No,No,No,Rainy,No,9.1,Afternoon,Provided,Synthetic development data,60.0,8,38,9,76.37666666666667,4,21.0,0,0,0,0,High
15-09-2025,Monday,5,14:30,15:30,Organizational Behavior,IT15,MPS_KSD,1,MCA,A,403,103,73,70.87,84.47,1.0,Theory,No,No,No,Sunny,No,2.8,Afternoon,Provided,Synthetic development data,60.0,8,38,9,81.23333333333333,5,21.0,0,0,0,0,Medium
16-09-2025,Tuesday,1,9:15,10:15,Mini Project,ITP11,JSP_Visiting,1,MCA,A,403,103,69,66.99,70.87,18.75,Project,No,No,No,Rainy,No,11.1,Morning,Provided,Synthetic development data,60.0,9,38,9,79.61333333333333,1,21.0,0,0,0,0,Medium
16-09-2025,Tuesday,2,10:15,11:15,Organizational Behavior,IT15,MPS_KSD,1,MCA,A,403,103,76,73.79,66.99,1.0,Theory,No,No,No,Cloudy,No,11.3,Morning,Provided,Synthetic development data,60.0,9,38,9,74.11,2,21.0,0,0,0,0,Medium
16-09-2025,Tuesday,3,11:15,12:15,Advanced DBMS,IT13,MST_DPY,1,MCA,A,403,103,79,76.7,73.79,1.0,Theory,No,No,No,Rainy,No,8.7,Morning,Provided,Synthetic development data,60.0,9,38,9,70.55,3,21.0,0,0,0,0,High
16-09-2025,Tuesday,4,13:30,14:30,"Practical based on Python Programming, Data Structure and Algorithms and Advanced DBMS",ITL11,AAB_SP_ASP_RSZ_MST_DPY,1,MCA,A,401/402,103,89,86.41,76.7,2.25,Practical,No,No,No,Sunny,No,13.3,Afternoon,Provided,Synthetic development data,60.0,9,38,9,72.49333333333334,4,21.0,0,0,0,0,High
16-09-2025,Tuesday,5,14:30,15:30,Advanced DBMS,IT13,MST_DPY,1,MCA,A,403,103,70,67.96,86.41,1.0,Theory,No,No,No,Rainy,No,10.7,Afternoon,Provided,Synthetic development data,60.0,9,38,9,78.96666666666665,5,21.0,0,0,0,0,Medium
17-09-2025,Wednesday,1,9:15,10:15,Mini Project,ITP11,JSP_Visiting,1,MCA,A,403,103,75,72.82,67.96,18.75,Project,No,No,No,Sunny,No,6.7,Morning,Provided,Synthetic development data,60.0,10,38,9,77.02333333333333,1,21.0,0,0,0,0,Medium
17-09-2025,Wednesday,2,10:15,11:15,Network Technologies and Infrastructure Management,IT14,MLK,1,MCA,A,403,103,81,78.64,72.82,1.0,Theory,No,No,No,Sunny,No,2.3,Morning,Provided,Synthetic development data,60.0,10,38,9,75.73,2,21.0,0,0,0,0,High
17-09-2025,Wednesday,3,11:15,12:15,Data Structure and Algorithms,IT12,ASP_RSZ,1,MCA,A,403,103,65,63.11,78.64,1.0,Theory,No,No,No,Sunny,No,2.8,Morning,Provided,Synthetic development data,60.0,10,38,9,73.13999999999999,3,21.0,0,0,0,0,Medium
17-09-2025,Wednesday,4,13:30,14:30,Python Programming,IT11,AAB_SP,1,MCA,A,403,103,79,76.7,63.11,2.25,Theory,No,Yes,No,Cloudy,No,6.6,Afternoon,Provided,Synthetic development data,60.0,10,38,9,71.52333333333333,4,21.0,0,1,0,0,High
17-09-2025,Wednesday,5,14:30,15:30,Network Technologies and Infrastructure Management,IT14,MLK,1,MCA,A,403,103,68,66.02,76.7,1.0,Theory,No,No,No,Cloudy,No,8.0,Afternoon,Provided,Synthetic development data,60.0,10,38,9,72.81666666666666,5,21.0,0,0,0,0,Medium
18-09-2025,Thursday,1,9:15,10:15,Network Technologies and Infrastructure Management,IT14,MLK,1,MCA,A,403,103,81,78.64,66.02,18.75,Theory,No,No,No,Cloudy,Yes,4.2,Morning,Provided,Synthetic development data,60.0,11,38,9,68.61,1,21.0,0,0,0,1,High
18-09-2025,Thursday,2,10:15,11:15,Data Structure and Algorithms,IT12,ASP_RSZ,1,MCA,A,403,103,76,73.79,78.64,1.0,Theory,No,No,No,Sunny,Yes,4.5,Morning,Provided,Synthetic development data,60.0,11,38,9,73.78666666666668,2,21.0,0,0,0,1,Medium
18-09-2025,Thursday,3,11:15,12:15,Organizational Behavior,IT15,MPS_KSD,1,MCA,A,403,103,78,75.73,73.79,1.0,Theory,No,No,No,Rainy,No,5.0,Morning,Provided,Synthetic development data,60.0,11,38,9,72.81666666666668,3,21.0,0,0,0,0,High
18-09-2025,Thursday,4,13:30,14:30,Advanced DBMS,IT13,MST_DPY,1,MCA,A,403,103,67,65.05,75.73,2.25,Theory,No,Yes,No,Cloudy,No,12.1,Afternoon,Provided,Synthetic development data,60.0,11,38,9,76.05333333333334,4,21.0,0,1,0,0,Medium
18-09-2025,Thursday,5,14:30,15:30,Data Structure and Algorithms,IT12,ASP_RSZ,1,MCA,A,403,103,78,75.73,65.05,1.0,Theory,No,No,No,Rainy,No,12.0,Afternoon,Provided,Synthetic development data,60.0,11,38,9,71.52333333333334,5,21.0,0,0,0,0,High
19-09-2025,Friday,1,9:15,10:15,Organizational Behavior,IT15,MPS_KSD,1,MCA,A,403,103,79,76.7,75.73,18.75,Theory,No,No,No,Sunny,No,7.0,Morning,Provided,Synthetic development data,60.0,12,38,9,72.17,1,21.0,0,0,0,0,High
19-09-2025,Friday,2,10:15,11:15,Python Programming,IT11,AAB_SP,1,MCA,A,403,103,79,76.7,76.7,1.0,Theory,No,No,No,Rainy,No,4.2,Morning,Provided,Synthetic development data,60.0,12,38,9,72.49333333333333,2,21.0,0,0,0,0,High
19-09-2025,Friday,3,11:15,12:15,Advanced DBMS,IT13,MST_DPY,1,MCA,A,403,103,73,70.87,76.7,1.0,Theory,No,No,No,Rainy,No,3.4,Morning,Provided,Synthetic development data,60.0,12,38,9,76.37666666666667,3,21.0,0,0,0,0,Medium
19-09-2025,Friday,4,13:30,14:30,Data Structure and Algorithms,IT12,ASP_RSZ,1,MCA,A,403,103,66,64.08,70.87,2.25,Theory,No,No,No,Sunny,No,3.1,Afternoon,Provided,Synthetic development data,60.0,12,38,9,74.75666666666666,4,21.0,0,0,0,0,Medium
19-09-2025,Friday,5,14:30,15:30,Python Programming,IT11,AAB_SP,1,MCA,A,403,103,77,74.76,64.08,1.0,Theory,No,No,No,Sunny,No,7.1,Afternoon,Provided,Synthetic development data,60.0,12,38,9,70.55,5,21.0,0,0,0,0,Medium
20-09-2025,Saturday,1,11:15,12:15,Mini Project,ITP11,JSP_Visiting,1,MCA,A,403,103,68,66.02,74.76,20.75,Project,Yes,No,No,Rainy,No,2.6,Morning,Provided,Synthetic development data,60.0,13,38,9,69.90333333333332,1,21.0,1,0,0,0,Medium
22-09-2025,Monday,1,9:15,10:15,Mini Project,ITP11,JSP_Visiting,1,MCA,A,403,103,74,71.84,66.02,46.0,Project,No,No,No,Rainy,No,6.3,Morning,Provided,Synthetic development data,60.0,15,39,9,68.28666666666666,1,21.0,0,0,0,0,Medium
22-09-2025,Monday,2,10:15,11:15,Advanced DBMS,IT13,MST_DPY,1,MCA,A,403,103,77,74.76,71.84,1.0,Theory,No,No,No,Cloudy,No,14.5,Morning,Provided,Synthetic development data,60.0,15,39,9,70.87333333333333,2,21.0,0,0,0,0,Medium
22-09-2025,Monday,3,11:15,12:15,Python Programming,IT11,AAB_SP,1,MCA,A,403,103,90,87.38,74.76,1.0,Theory,No,No,No,Sunny,No,8.6,Morning,Provided,Synthetic development data,60.0,15,39,9,70.87333333333333,3,21.0,0,0,0,0,High
22-09-2025,Monday,4,13:30,14:30,"Practical based on Python Programming, Data Structure and Algorithms and Advanced DBMS",ITL11,AAB_SP_ASP_RSZ_MST_DPY,1,MCA,A,401/402,103,83,80.58,87.38,2.25,Practical,No,No,No,Sunny,No,12.7,Afternoon,Provided,Synthetic development data,60.0,15,39,9,77.99333333333334,4,21.0,0,0,0,0,High
22-09-2025,Monday,5,14:30,15:30,Organizational Behavior,IT15,MPS_KSD,1,MCA,A,403,103,79,76.7,80.58,1.0,Theory,No,No,No,Sunny,No,3.7,Afternoon,Provided,Synthetic development data,60.0,15,39,9,80.90666666666667,5,21.0,0,0,0,0,High
23-09-2025,Tuesday,1,9:15,10:15,Mini Project,ITP11,JSP_Visiting,1,MCA,A,403,103,74,71.84,76.7,18.75,Project,No,No,No,Rainy,No,5.5,Morning,Provided,Synthetic development data,60.0,16,39,9,81.55333333333333,1,21.0,0,0,0,0,Medium
23-09-2025,Tuesday,2,10:15,11:15,Organizational Behavior,IT15,MPS_KSD,1,MCA,A,403,103,84,81.55,71.84,1.0,Theory,No,No,No,Rainy,No,14.3,Morning,Provided,Synthetic development data,60.0,16,39,9,76.37333333333333,2,21.0,0,0,0,0,High
23-09-2025,Tuesday,3,11:15,12:15,Advanced DBMS,IT13,MST_DPY,1,MCA,A,403,103,75,72.82,81.55,1.0,Theory,No,No,No,Cloudy,No,7.0,Morning,Provided,Synthetic development data,60.0,16,39,9,76.69666666666667,3,21.0,0,0,0,0,Medium
23-09-2025,Tuesday,4,13:30,14:30,"Practical based on Python Programming, Data Structure and Algorithms and Advanced DBMS",ITL11,AAB_SP_ASP_RSZ_MST_DPY,1,MCA,A,401/402,103,76,73.79,72.82,2.25,Practical,No,No,No,Sunny,No,10.4,Afternoon,Provided,Synthetic development data,60.0,16,39,9,75.40333333333332,4,21.0,0,0,0,0,Medium
23-09-2025,Tuesday,5,14:30,15:30,Advanced DBMS,IT13,MST_DPY,1,MCA,A,403,103,76,73.79,73.79,1.0,Theory,No,No,No,Rainy,No,14.7,Afternoon,Provided,Synthetic development data,60.0,16,39,9,76.05333333333334,5,21.0,0,0,0,0,Medium
24-09-2025,Wednesday,1,9:15,10:15,Mini Project,ITP11,JSP_Visiting,1,MCA,A,403,103,78,75.73,73.79,18.75,Project,No,Yes,No,Cloudy,No,9.2,Morning,Provided,Synthetic development data,60.0,17,39,9,73.46666666666667,1,21.0,0,1,0,0,High
24-09-2025,Wednesday,2,10:15,11:15,Network Technologies and Infrastructure Management,IT14,MLK,1,MCA,A,403,103,84,81.55,75.73,1.0,Theory,No,No,No,Sunny,No,6.0,Morning,Provided,Synthetic development data,60.0,17,39,9,74.43666666666667,2,21.0,0,0,0,0,High
24-09-2025,Wednesday,3,11:15,12:15,Data Structure and Algorithms,IT12,ASP_RSZ,1,MCA,A,403,103,73,70.87,81.55,1.0,Theory,No,No,No,Sunny,No,8.9,Morning,Provided,Synthetic development data,60.0,17,39,9,77.02333333333333,3,21.0,0,0,0,0,Medium
24-09-2025,Wednesday,4,13:30,14:30,Python Programming,IT11,AAB_SP,1,MCA,A,403,103,72,69.9,70.87,2.25,Theory,No,Yes,No,Rainy,No,2.7,Afternoon,Provided,Synthetic development data,60.0,17,39,9,76.05,4,21.0,0,1,0,0,Medium
24-09-2025,Wednesday,5,14:30,15:30,Network Technologies and Infrastructure Management,IT14,MLK,1,MCA,A,403,103,68,66.02,69.9,1.0,Theory,No,No,No,Rainy,No,3.5,Afternoon,Provided,Synthetic development data,60.0,17,39,9,74.10666666666667,5,21.0,0,0,0,0,Medium
25-09-2025,Thursday,1,9:15,10:15,Network Technologies and Infrastructure Management,IT14,MLK,1,MCA,A,403,103,68,66.02,66.02,18.75,Theory,No,No,No,Rainy,No,2.1,Morning,Provided,Synthetic development data,60.0,18,39,9,68.93,1,21.0,0,0,0,0,Medium
25-09-2025,Thursday,2,10:15,11:15,Data Structure and Algorithms,IT12,ASP_RSZ,1,MCA,A,403,103,86,83.5,66.02,1.0,Theory,Yes,No,No,Cloudy,No,13.5,Morning,Provided,Synthetic development data,60.0,18,39,9,67.31333333333333,2,21.0,1,0,0,0,High
25-09-2025,Thursday,3,11:15,12:15,Organizational Behavior,IT15,MPS_KSD,1,MCA,A,403,103,78,75.73,83.5,1.0,Theory,No,No,No,Cloudy,No,10.7,Morning,Provided,Synthetic development data,60.0,18,39,9,71.84666666666666,3,21.0,0,0,0,0,High
25-09-2025,Thursday,4,13:30,14:30,Advanced DBMS,IT13,MST_DPY,1,MCA,A,403,103,68,66.02,75.73,2.25,Theory,No,No,No,Sunny,No,5.9,Afternoon,Provided,Synthetic development data,60.0,18,39,9,75.08333333333333,4,21.0,0,0,0,0,Medium
25-09-2025,Thursday,5,14:30,15:30,Data Structure and Algorithms,IT12,ASP_RSZ,1,MCA,A,403,103,77,74.76,66.02,1.0,Theory,No,No,No,Sunny,No,4.9,Afternoon,Provided,Synthetic development data,60.0,18,39,9,75.08333333333333,5,21.0,0,0,0,0,Medium
26-09-2025,Friday,1,9:15,10:15,Organizational Behavior,IT15,MPS_KSD,1,MCA,A,403,103,84,81.55,74.76,18.75,Theory,No,Yes,No,Sunny,No,10.9,Morning,Provided,Synthetic development data,60.0,19,39,9,72.17,1,21.0,0,1,0,0,High
26-09-2025,Friday,2,10:15,11:15,Python Programming,IT11,AAB_SP,1,MCA,A,403,103,84,81.55,81.55,1.0,Theory,No,Yes,No,Rainy,No,14.0,Morning,Provided,Synthetic development data,60.0,19,39,9,74.11,2,21.0,0,1,0,0,High
26-09-2025,Friday,3,11:15,12:15,Advanced DBMS,IT13,MST_DPY,1,MCA,A,403,103,69,66.99,81.55,1.0,Theory,Yes,No,No,Sunny,No,5.9,Morning,Provided,Synthetic development data,60.0,19,39,9,79.28666666666668,3,21.0,1,0,0,0,Medium
26-09-2025,Friday,4,13:30,14:30,Data Structure and Algorithms,IT12,ASP_RSZ,1,MCA,A,403,103,66,64.08,66.99,2.25,Theory,No,No,No,Rainy,No,6.2,Afternoon,Provided,Synthetic development data,60.0,19,39,9,76.69666666666667,4,21.0,0,0,0,0,Medium
26-09-2025,Friday,5,14:30,15:30,Python Programming,IT11,AAB_SP,1,MCA,A,403,103,78,75.73,64.08,1.0,Theory,No,Yes,No,Cloudy,No,13.1,Afternoon,Provided,Synthetic development data,60.0,19,39,9,70.87333333333333,5,21.0,0,1,0,0,High
27-09-2025,Saturday,1,11:15,12:15,Mini Project,ITP11,JSP_Visiting,1,MCA,A,403,103,72,69.9,75.73,20.75,Project,No,No,No,Cloudy,No,13.6,Morning,Provided,Synthetic development data,60.0,20,39,9,68.93333333333332,1,21.0,0,0,0,0,Medium
29-09-2025,Monday,1,9:15,10:15,Mini Project,ITP11,JSP_Visiting,1,MCA,A,403,103,85,82.52,69.9,46.0,Project,No,No,No,Cloudy,No,13.9,Morning,Provided,Synthetic development data,60.0,22,40,9,69.90333333333334,1,21.0,0,0,0,0,High
29-09-2025,Monday,2,10:15,11:15,Advanced DBMS,IT13,MST_DPY,1,MCA,A,403,103,78,75.73,82.52,1.0,Theory,No,No,No,Rainy,No,5.8,Morning,Provided,Synthetic development data,60.0,22,40,9,76.05,2,21.0,0,0,0,0,High
29-09-2025,Monday,3,11:15,12:15,Python Programming,IT11,AAB_SP,1,MCA,A,403,103,74,71.84,75.73,1.0,Theory,No,No,No,Sunny,No,3.6,Morning,Provided,Synthetic development data,60.0,22,40,9,76.05,3,21.0,0,0,0,0,Medium
29-09-2025,Monday,4,13:30,14:30,"Practical based on Python Programming, Data Structure and Algorithms and Advanced DBMS",ITL11,AAB_SP_ASP_RSZ_MST_DPY,1,MCA,A,401/402,103,86,83.5,71.84,2.25,Practical,No,No,No,Rainy,No,7.7,Afternoon,Provided,Synthetic development data,60.0,22,40,9,76.69666666666667,4,21.0,0,0,0,0,High
29-09-2025,Monday,5,14:30,15:30,Organizational Behavior,IT15,MPS_KSD,1,MCA,A,403,103,72,69.9,83.5,1.0,Theory,No,No,No,Rainy,No,5.8,Afternoon,Provided,Synthetic development data,60.0,22,40,9,77.02333333333333,5,21.0,0,0,0,0,Medium
30-09-2025,Tuesday,1,9:15,10:15,Mini Project,ITP11,JSP_Visiting,1,MCA,A,403,103,79,76.7,69.9,18.75,Project,No,No,No,Cloudy,No,13.5,Morning,Provided,Synthetic development data,60.0,23,40,9,75.08,1,21.0,0,0,0,0,High
30-09-2025,Tuesday,2,10:15,11:15,Organizational Behavior,IT15,MPS_KSD,1,MCA,A,403,103,92,89.32,76.7,1.0,Theory,Yes,No,No,Sunny,No,2.5,Morning,Provided,Synthetic development data,60.0,23,40,9,76.7,2,21.0,1,0,0,0,High
30-09-2025,Tuesday,3,11:15,12:15,Advanced DBMS,IT13,MST_DPY,1,MCA,A,403,103,74,71.84,89.32,1.0,Theory,No,No,No,Cloudy,No,10.2,Morning,Provided,Synthetic development data,60.0,23,40,9,78.64,3,21.0,0,0,0,0,Medium
30-09-2025,Tuesday,4,13:30,14:30,"Practical based on Python Programming, Data Structure and Algorithms and Advanced DBMS",ITL11,AAB_SP_ASP_RSZ_MST_DPY,1,MCA,A,401/402,103,79,76.7,71.84,2.25,Practical,No,Yes,No,Cloudy,No,13.8,Afternoon,Provided,Synthetic development data,60.0,23,40,9,79.28666666666668,4,21.0,0,1,0,0,High
30-09-2025,Tuesday,5,14:30,15:30,Advanced DBMS,IT13,MST_DPY,1,MCA,A,403,103,65,63.11,76.7,1.0,Theory,No,No,No,Sunny,No,14.7,Afternoon,Provided,Synthetic development data,60.0,23,40,9,79.28666666666668,5,21.0,0,0,0,0,Medium
01-10-2025,Wednesday,1,9:15,10:15,Mini Project,ITP11,JSP_Visiting,1,MCA,A,403,103,69,66.99,63.11,18.75,Project,No,Yes,Yes,Rainy,No,10.5,Morning,Provided,Synthetic development data,60.0,24,40,10,70.55000000000001,1,21.0,0,1,1,0,Medium
01-10-2025,Wednesday,2,10:15,11:15,Network Technologies and Infrastructure Management,IT14,MLK,1,MCA,A,403,103,74,71.84,66.99,1.0,Theory,No,No,Yes,Sunny,No,14.3,Morning,Provided,Synthetic development data,60.0,24,40,10,68.93333333333332,2,21.0,0,0,1,0,Medium
01-10-2025,Wednesday,3,11:15,12:15,Data Structure and Algorithms,IT12,ASP_RSZ,1,MCA,A,403,103,71,68.93,71.84,1.0,Theory,No,Yes,Yes,Rainy,No,3.0,Morning,Provided,Synthetic development data,60.0,24,40,10,67.31333333333333,3,21.0,0,1,1,0,Medium
01-10-2025,Wednesday,4,13:30,14:30,Python Programming,IT11,AAB_SP,1,MCA,A,403,103,83,80.58,68.93,2.25,Theory,No,No,Yes,Sunny,No,6.7,Afternoon,Provided,Synthetic development data,60.0,24,40,10,69.25333333333333,4,21.0,0,0,1,0,High
